機關代碼,機關名稱,英文名稱,上層機關
200000000A,總統府,Office of the President,
201000000A,中央研究院,Academia Sinica,總統府
202000000A,國史館,Academia Historica,總統府
A00000000A,行政院,The Executive Yuan,
301000000A,內政部,Ministry of the Interior,行政院
A01010000C,內政部警政署,National Police Administration,內政部
301020000G,內政部營建署,Construction and Planning Agency Ministry of the Interior (CPAMI) ,內政部
301060000C,內政部消防署,National Fire Agency of the Ministry of the Interior R.O.C.,內政部
A01040000A,內政部役政署,Conscription Administration,內政部
A01070000G,內政部建築研究所,"Architecture and Building Research Institute, MOI",內政部
301000100G,內政部國土測繪中心,National Land Surveying and Mapping Center,內政部
301000200G,內政部土地重劃工程處,Land Consolidation Engineering Bureau Ministry of the Interior,內政部
A03000000B,外交部,Ministry of Foreign Affairs,行政院
A03010000B,外交部領事事務局,"Bureau of Consular Affairs,Ministry of Foreign Affairs,Republic of China(Taiwan)",外交部
A05000000C,國防部,Ministry of National Defense R.O.C,行政院
A07000000D,財政部,Ministry of Finance,行政院
A07010000D,財政部國庫署,"National Treasury Administration, Ministry of Finance",財政部
A07020000D,財政部賦稅署,"Department of Taxation, MOF",財政部
A07090000D,財政部國有財產署,"National Property Administration,Ministry of Finance",財政部
A07030000D,財政部臺北國稅局,"National Taxation Bureau of Taipei,Ministry of Finance",財政部
A07040000D,財政部高雄國稅局,"National Taxation Bureau of Kaohsiung,Ministry of Finance",財政部
A07080000D,財政部關務署,Customs Administration,財政部
A07050000D,財政部北區國稅局,"National Taxation Bureau of the Northern Area,Ministry of Finance",財政部
A07060000D,財政部中區國稅局,"National Taxation Bureau of the Central Area,Ministry of Finance",財政部
A07070000D,財政部南區國稅局,"National Taxation Bureau of the Southern Area,Ministry of Finance",財政部
A07100000D,財政部財政資訊中心,"Fiscal Information Agency,Ministry of Finance",財政部
A07000100D,財政部財政人員訓練所,"Training Institute, Ministry of Finance",財政部
A09000000E,教育部,Ministry of Education,行政院
A09090000E,國立臺灣科學教育館,National Taiwan Science Education Center,教育部
A09000100E,國立臺灣藝術教育館,National Taiwan Institute of Arts Education,教育部
A09070000E,國立自然科學博物館,National Museum of Natural Science,教育部
A09050000E,國家圖書館,National Central Library,教育部
A09080000E,國立科學工藝博物館,National Science and Technology Museum,教育部
A09100000E,國立教育廣播電臺,National Educational Radio Station,教育部
A09060000E,國立海洋生物博物館,National Museum of Marine Biology,教育部
A09040000E,國家教育研究院,National Acadeny for Educational Research,教育部
A09010000E,教育部體育署,"Sports Administration,Ministry of Education",教育部
A09030000E,教育部國民及學前教育署,"K-12 Education Administration,Ministry of Education",教育部
A09110000E,國立公共資訊圖書館,National Library of Public Information,教育部
A09120000E,國立臺灣圖書館,National Taiwan Library,教育部
A09020000E,教育部青年發展署,"Youth Development Administration, Ministry of Education",教育部
A11000000F,法務部,Ministry of Justice,行政院
A11010000F,法務部調查局,"Investigation Bureau, MOJ",法務部
A11050000F,最高法院檢察署,Public Prosecutor-General is Office for the Supreme Court,法務部
A11080000F,法務部法醫研究所,Intitute of Forensic Medicine,法務部
A11000100F,福建高等法院金門分院檢察署,Prosecutors Office for Kinmen Branch of Fukien High Court,法務部
A11000200F,福建金門地方法院檢察署,Prosecutors Office for Fukien Kinmen District Court,法務部
A11020000F,法務部行政執行署,Administrative Enforcement Agency ,法務部
A11060000F,臺灣高等法院檢察署,Prosecutors Office for Taiwan High Court,法務部
A11040000F,法務部矯正署,"Agency of Corrections, Ministry of Justice",法務部
A11030000F,法務部廉政署,"Agency Against Corruption, Ministry of Justice",法務部
A11000300F,福建連江地方法院檢察署,Fujian Lienchiang District Prosecutors Office,法務部
313000000G,經濟部,Ministry of Economic Affairs,行政院
313010000G,經濟部國際貿易局,"Bureau of ForeignTrade, MOEA",經濟部
313020000G,經濟部工業局,Industrial Development Bureau,經濟部
313050000G,經濟部中小企業處,"Small and Medium Enterprise Administration, MOEA",經濟部
313060000G,經濟部中央地質調查所,Central Geological Survey MOEA,經濟部
313070000G,經濟部加工出口區管理處,"Export Processing Zone Administration, MOEA",經濟部
313090000G,經濟部投資審議委員會,"Investment Commission, MOEA",經濟部
313110000K,經濟部國營事業委員會,"State Enterprise Commission, MOEA",經濟部
313130000G,經濟部貿易調查委員會,"International Trade Commission, MOEA",經濟部
313150000G,經濟部標準檢驗局,"Bureau of Standards Metrology and Inspection, MOEA",經濟部
313160000G,經濟部智慧財產局,"Intellectual Property Office, MOEA",經濟部
313190000L,經濟部礦務局,"Bureau of Mine, MOEA",經濟部
313200000G,經濟部水利署,"Water Resources Agency,Ministry of Economic Affairs",經濟部
313600000K,經濟部專業人員研究中心,"Professional Staff Reaserch Center, MOEA",經濟部
313210000G,經濟部能源局,"Bureau of Energy, Ministry of Economic Affairs",經濟部
315000000H,交通部,Ministry of Transportation and Communications,行政院
315050000M,交通部臺灣區國道高速公路局,"Taiwan Area National Freeway Bureau, MOTC",交通部
315060000H,交通部民用航空局,"Civil Aeronantics Administration, MOTC",交通部
315070000H,交通部中央氣象局,"Central Weather Bureau, MOTC",交通部
315080000H,交通部觀光局,"Tourism Bureau, Ministry of Transportation and communications Republic of China",交通部
315240000H,交通部鐵路改建工程局,"Railway Reconstruction Bureau, Ministry Of Transportation and Communications",交通部
315100000H,交通部運輸研究所,"Institute of Transportation, MOTC",交通部
